,0,1,2,3,4,5,location,area,classification,salary
61,Administration Support - Health (Contract),https://www.seek.co.nz/job/50616292?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Serco Asia Pacific,location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,"5d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Manukau & East AucklandManukau & East Auckland, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
62,Accounts Administrator,https://www.seek.co.nz/job/50631687?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Landmark Homes Taranaki,location: TaranakiTaranakiarea: New PlymouthNew Plymouth,"3d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,TaranakiTaranaki, New PlymouthNew Plymouth, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
63,Office / Client Administrator,https://www.seek.co.nz/job/50597000?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Perpetual Guardian,"location: AucklandAucklandarea: Auckland CentralAuckland Central,Includes life and health insurance","8d ago,at",Includes life and health insurance,AucklandAuckland," Auckland CentralAuckland Central,Includes life and health insurance",Includes life and health insurance,
64,Administration Specialist - Construction,https://www.seek.co.nz/job/50638765?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,unknown,location: AucklandAucklandarea: Rodney & North ShoreRodney & North Shore,"5h ago,at,Private Advertiser",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Rodney & North ShoreRodney & North Shore, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
65,Receptionist,https://www.seek.co.nz/job/50632280?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Deloitte - NZ,location: OtagoOtagoarea: DunedinDunedin,"3d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,OtagoOtago, DunedinDunedin, Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,
66,Office Administrator / Kiripaepae,https://www.seek.co.nz/job/50597146?type=promoted#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Te Runanga of Ngati Whakaue ki Maketu,"location: Bay of PlentyBay of Plentyarea: Rest of Bay of PlentyRest of Bay of Plenty,$20 - $24.99 per hour","Featured,at",$20 - $24.99 per hour,Bay of PlentyBay of Plenty," Rest of Bay of PlentyRest of Bay of Plenty,$20 - $24.99 per hour",$20 - $24.99 per hour,20 - 
67,Administrator,https://www.seek.co.nz/job/50582301?type=promoted#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,unknown,location: Bay of PlentyBay of Plentyarea: TaurangaTauranga,"Featured,at,Private Advertiser",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management,Bay of PlentyBay of Plenty, TaurangaTauranga, Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management,
68,Information And Sustainable Transport Assistant,https://www.seek.co.nz/job/50613258?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Marlborough District Council,location: MarlboroughMarlborougharea: BlenheimBlenheim,"5d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Data Entry & Word ProcessingData Entry & Word Processing,MarlboroughMarlborough, BlenheimBlenheim, Administration & Office SupportAdministration & Office SupportsubClassification: Data Entry & Word ProcessingData Entry & Word Processing,
69,Team Member Customer Service,https://www.seek.co.nz/job/50629895?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Bunnings,location: AucklandAucklandarea: Rodney & North ShoreRodney & North Shore,"3d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,AucklandAuckland, Rodney & North ShoreRodney & North Shore, Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,
70,Office Administrator- Flexible Fixed-Term,https://www.seek.co.nz/job/50605913?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Livewire HR Limited,location: WaikatoWaikatoarea: HamiltonHamilton,"6d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,WaikatoWaikato, HamiltonHamilton, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
71,Administrator,https://www.seek.co.nz/job/50607763?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,unknown,location: AucklandAucklandarea: Rodney & North ShoreRodney & North Shore,"6d ago,at,Private Advertiser",classification: Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther,AucklandAuckland, Rodney & North ShoreRodney & North Shore, Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther,
72,Service Delivery Administrator-Wiri,https://www.seek.co.nz/job/50599778?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Royal New Zealand Plunket Trust,location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,"7d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Manukau & East AucklandManukau & East Auckland, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
73,Office Assistant,https://www.seek.co.nz/job/50629874?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Adecco Office,location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,"3d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Manukau & East AucklandManukau & East Auckland, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
74,Administration Manager,https://www.seek.co.nz/job/50625535?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,IHC,location: Bay of PlentyBay of Plentyarea: RotoruaRotorua,"4d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management,Bay of PlentyBay of Plenty, RotoruaRotorua, Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management,
75,Personal Assistant & Office Manager,https://www.seek.co.nz/job/50631694?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Widespan South Island 2015 Ltd,"location: CanterburyCanterburyarea: ChristchurchChristchurch,$55,000 - $69,999","3d ago,at","$55,000 - $69,999",CanterburyCanterbury," ChristchurchChristchurch,$55,000 - $69,999","$55,000 - $69,999","55,000 - "
76,Customer Care Administrator,https://www.seek.co.nz/job/50456853?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Harvey Furnishings,location: AucklandAucklandarea: Auckland CentralAuckland Central,"3d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
77,Office Administrator/ Receptionist,https://www.seek.co.nz/job/50607720?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Aztec Finance,"location: WellingtonWellingtonarea: Wellington CentralWellington Central,$20.00 per hour.","6d ago,at",$20.00 per hour.,WellingtonWellington," Wellington CentralWellington Central,$20.00 per hour.",$20.00 per hour.,20.00 per hour.
78,Office Administrator,https://www.seek.co.nz/job/50607500?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Cavanagh & Associates Ltd,"location: AucklandAucklandarea: Papakura & FranklinPapakura & Franklin,$20 - $24.99 per hour","6d ago,at",$20 - $24.99 per hour,AucklandAuckland," Papakura & FranklinPapakura & Franklin,$20 - $24.99 per hour",$20 - $24.99 per hour,20 - 
79,Casual Administrator,https://www.seek.co.nz/job/50613331?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Auckland District Health Board,location: AucklandAucklandarea: Auckland CentralAuckland Central,"5d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
80,Customer Services Officer,https://www.seek.co.nz/job/50614001?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Elite School of Beauty and Spa,location: AucklandAucklandarea: Auckland CentralAuckland Central,"5d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
81,Remote Receptionist / Front Of Hours / Accounts Clerk,https://www.seek.co.nz/job/50631407?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Swimsation Swim Schools,"location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,$21 per hour","3d ago,at",$21 per hour,AucklandAuckland," Manukau & East AucklandManukau & East Auckland,$21 per hour",$21 per hour,21 per hour
82,Development Contributions Assessment Officer,https://www.seek.co.nz/job/50629996?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Hamilton City Council,"location: WaikatoWaikatoarea: HamiltonHamilton,$55,000 - $64,999","3d ago,at","$55,000 - $64,999",WaikatoWaikato," HamiltonHamilton,$55,000 - $64,999","$55,000 - $64,999","55,000 - "
83,Customer Services,https://www.seek.co.nz/job/50622331?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Hobsonville Marina,location: AucklandAucklandarea: Waitakere & West AucklandWaitakere & West Auckland,"4d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,AucklandAuckland, Waitakere & West AucklandWaitakere & West Auckland, Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,
84,Administrator/Booking  Clerk -  Cardiothoracic,https://www.seek.co.nz/job/50607526?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Waikato District Health Board,location: WaikatoWaikatoarea: HamiltonHamilton,"6d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,WaikatoWaikato, HamiltonHamilton, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
85,Senior Administration Officer,https://www.seek.co.nz/job/50614537?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,CAA/Avsec,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"5d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther,WellingtonWellington, Wellington CentralWellington Central, Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther,
