,job_name,job_link,post_date,area,location,classification,sub_classification,salary
130,Part Time Receptionist In Auckland Cbd,https://www.seek.co.nz/job/50597939?type=standout#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,2023-05-10,Auckland Central,Auckland,Administration & Office Support,Receptionists,
131,Executive Assistant To The Chief Executive,https://www.seek.co.nz/job/50635291?type=standout#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,2023-05-14,Hamilton,Waikato,Administration & Office Support,"PA, EA & Secretarial",
132,Senior Administrator,https://www.seek.co.nz/job/50551511?type=promoted#searchRequestToken=67323112-4f2b-4678-8f5f-9509324f14b1,unknown,Hamilton,Waikato,Administration & Office Support,Administrative Assistants,
133,Office Administrators,https://www.seek.co.nz/job/50628972?type=promoted#searchRequestToken=67323112-4f2b-4678-8f5f-9509324f14b1,unknown,Wellington Central,Wellington,Administration & Office Support,Administrative Assistants,
134,Student Services Administrator,https://www.seek.co.nz/job/50605903?type=standard#searchRequestToken=67323112-4f2b-4678-8f5f-9509324f14b1,2023-05-11,Waitakere & West Auckland,Auckland,,,$20 - $29.99 per hour
135,Executive Assistant,https://www.seek.co.nz/job/50613522?type=standard#searchRequestToken=67323112-4f2b-4678-8f5f-9509324f14b1,2023-05-12,Manukau & East Auckland,Auckland,Administration & Office Support,"PA, EA & Secretarial",
136,Inpatient Booking Clerk,https://www.seek.co.nz/job/50597562?type=standard#searchRequestToken=67323112-4f2b-4678-8f5f-9509324f14b1,2023-05-10,Hamilton,Waikato,Administration & Office Support,Administrative Assistants,
137,Office Administrator,https://www.seek.co.nz/job/50617719?type=standard#searchRequestToken=67323112-4f2b-4678-8f5f-9509324f14b1,2023-05-12,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
138,Regional Coordinator - South Island,https://www.seek.co.nz/job/50621532?type=standard#searchRequestToken=67323112-4f2b-4678-8f5f-9509324f14b1,2023-05-13,Christchurch,Canterbury,Administration & Office Support,Administrative Assistants,
139,Administrator Te Roopu Kaitiaki - Part Time,https://www.seek.co.nz/job/50621207?type=standout#searchRequestToken=67323112-4f2b-4678-8f5f-9509324f14b1,2023-05-13,Wellington Central,Wellington,Administration & Office Support,Administrative Assistants,
140,Environmental Group Administrator/Liquor Licensing Inspector,https://www.seek.co.nz/job/50613416?type=standout#searchRequestToken=67323112-4f2b-4678-8f5f-9509324f14b1,2023-05-12,Timaru & South Canterbury,Canterbury,Administration & Office Support,"PA, EA & Secretarial",
141,Part Time Administration Officer,https://www.seek.co.nz/job/50547920?type=standard#searchRequestToken=67323112-4f2b-4678-8f5f-9509324f14b1,2023-04-30,Manukau & East Auckland,Auckland,Administration & Office Support,Administrative Assistants,
142,Part-Time Weekend Receptionist - Mount Hot Pools,https://www.seek.co.nz/job/50624583?type=standout#searchRequestToken=67323112-4f2b-4678-8f5f-9509324f14b1,2023-05-13,Tauranga,Bay of Plenty,Administration & Office Support,Receptionists,
143,Board Secretary,https://www.seek.co.nz/job/50639339?type=standard#searchRequestToken=67323112-4f2b-4678-8f5f-9509324f14b1,2023-05-17,Christchurch,Canterbury,Administration & Office Support,"PA, EA & Secretarial",
144,Receptionist - Part Time,https://www.seek.co.nz/job/50624082?type=standout#searchRequestToken=67323112-4f2b-4678-8f5f-9509324f14b1,2023-05-13,Hamilton,Waikato,Administration & Office Support,Receptionists,
145,Office Manager,https://www.seek.co.nz/job/50604577?type=standard#searchRequestToken=67323112-4f2b-4678-8f5f-9509324f14b1,2023-05-10,Wellington Central,Wellington,Administration & Office Support,Office Management,
146,Kaiāwhina Rau Tangata - Business Support Representative,https://www.seek.co.nz/job/50639878?type=standard#searchRequestToken=67323112-4f2b-4678-8f5f-9509324f14b1,unknown,Christchurch,Canterbury,Administration & Office Support,Receptionists,
147,Receptionist - Raglan Holiday Park Papahua (Casual) X2,https://www.seek.co.nz/job/50598196?type=standout#searchRequestToken=67323112-4f2b-4678-8f5f-9509324f14b1,2023-05-10,Rest of Waikato,Waikato,Administration & Office Support,Receptionists,
148,Administration Manager,https://www.seek.co.nz/job/50598322?type=standout#searchRequestToken=67323112-4f2b-4678-8f5f-9509324f14b1,2023-05-10,Hutt Valley,Wellington,,,$24-$28
149,Customer Service Administrator,https://www.seek.co.nz/job/50594243?type=standout#searchRequestToken=67323112-4f2b-4678-8f5f-9509324f14b1,2023-05-07,Palmerston North,Manawatu,Administration & Office Support,Client & Sales Administration,
150,Receptionist/Duty Manager,https://www.seek.co.nz/job/50596920?type=standout#searchRequestToken=67323112-4f2b-4678-8f5f-9509324f14b1,2023-05-09,Rodney & North Shore,Auckland,Administration & Office Support,Receptionists,
151,Business Support Administrator,https://www.seek.co.nz/job/50616431?type=standout#searchRequestToken=67323112-4f2b-4678-8f5f-9509324f14b1,2023-05-12,Rest of Manawatu,Manawatu,Administration & Office Support,Contracts Administration,
152,Estates Administrator,https://www.seek.co.nz/job/50622163?type=standout#searchRequestToken=67323112-4f2b-4678-8f5f-9509324f14b1,2023-05-13,Dunedin,Otago,Administration & Office Support,Other,
153,Executive Assistant/ Support Co-Ordinator,https://www.seek.co.nz/job/50605201?type=standout#searchRequestToken=67323112-4f2b-4678-8f5f-9509324f14b1,2023-05-11,Manukau & East Auckland,Auckland,Administration & Office Support,"PA, EA & Secretarial",
154,Customer Service Officer,https://www.seek.co.nz/job/50614282?type=promoted#searchRequestToken=f0c27b5c-1a18-4e3a-a9af-d54a94cae061,unknown,Timaru & South Canterbury,Canterbury,Administration & Office Support,Client & Sales Administration,
155,Business Support Administrator,https://www.seek.co.nz/job/50591178?type=promoted#searchRequestToken=f0c27b5c-1a18-4e3a-a9af-d54a94cae061,unknown,Tauranga,Bay of Plenty,Administration & Office Support,Administrative Assistants,
156,Branch And Events Administrator,https://www.seek.co.nz/job/50597675?type=standout#searchRequestToken=f0c27b5c-1a18-4e3a-a9af-d54a94cae061,2023-05-10,Palmerston North,Manawatu,,,
157,Office Administrator,https://www.seek.co.nz/job/50571080?type=standard#searchRequestToken=f0c27b5c-1a18-4e3a-a9af-d54a94cae061,2023-05-04,Rotorua,Bay of Plenty,Administration & Office Support,Administrative Assistants,
158,Frontline Media/Marketing Office Super Star,https://www.seek.co.nz/job/50605827?type=standout#searchRequestToken=f0c27b5c-1a18-4e3a-a9af-d54a94cae061,2023-05-11,Queenstown & Wanaka,Otago,Administration & Office Support,Administrative Assistants,
159,Client Services Administrator (Dunedin),https://www.seek.co.nz/job/50601280?type=standout#searchRequestToken=f0c27b5c-1a18-4e3a-a9af-d54a94cae061,2023-05-10,Dunedin,Otago,Administration & Office Support,Other,
160,Executive Assistant,https://www.seek.co.nz/job/50623808?type=standout#searchRequestToken=f0c27b5c-1a18-4e3a-a9af-d54a94cae061,2023-05-13,Nelson,Tasman,Administration & Office Support,"PA, EA & Secretarial",
161,Accounts Administrator,https://www.seek.co.nz/job/50608284?type=standout#searchRequestToken=f0c27b5c-1a18-4e3a-a9af-d54a94cae061,2023-05-11,Christchurch,Canterbury,Administration & Office Support,Administrative Assistants,
162,Parish Secretary,https://www.seek.co.nz/job/50631918?type=standard#searchRequestToken=f0c27b5c-1a18-4e3a-a9af-d54a94cae061,2023-05-14,Wellington Central,Wellington,Administration & Office Support,"PA, EA & Secretarial",
163,Client Services Officer - Wellington,https://www.seek.co.nz/job/50606274?type=standout#searchRequestToken=f0c27b5c-1a18-4e3a-a9af-d54a94cae061,2023-05-11,Wellington Central,Wellington,Administration & Office Support,Administrative Assistants,
164,Administrator,https://www.seek.co.nz/job/50592510?type=standout#searchRequestToken=f0c27b5c-1a18-4e3a-a9af-d54a94cae061,2023-05-07,Wellington Central,Wellington,Administration & Office Support,Office Management,
165,Office Administrator - Full-Time Ellerslie/Mt Wellington,https://www.seek.co.nz/job/50602110?type=standout#searchRequestToken=f0c27b5c-1a18-4e3a-a9af-d54a94cae061,2023-05-10,Auckland Central,Auckland,,,"$50,000 - $55,000 plus benefits"
166,Regional Coordinator,https://www.seek.co.nz/job/50597579?type=standout#searchRequestToken=f0c27b5c-1a18-4e3a-a9af-d54a94cae061,2023-05-10,Rest of Canterbury,Canterbury,Administration & Office Support,Client & Sales Administration,
167,Personal Assistant,https://www.seek.co.nz/job/50626152?type=standout#searchRequestToken=f0c27b5c-1a18-4e3a-a9af-d54a94cae061,2023-05-13,Queenstown & Wanaka,Otago,Administration & Office Support,"PA, EA & Secretarial",
168,Weekend Receptionist - Radius Thornleigh Park,https://www.seek.co.nz/job/50597734?type=standout#searchRequestToken=f0c27b5c-1a18-4e3a-a9af-d54a94cae061,2023-05-10,New Plymouth,Taranaki,Administration & Office Support,Receptionists,
169,Office Administrator,https://www.seek.co.nz/job/50597514?type=standard#searchRequestToken=f0c27b5c-1a18-4e3a-a9af-d54a94cae061,2023-05-10,Manukau & East Auckland,Auckland,Administration & Office Support,Administrative Assistants,
170,Client Services Officer - Napier,https://www.seek.co.nz/job/50606563?type=standout#searchRequestToken=f0c27b5c-1a18-4e3a-a9af-d54a94cae061,2023-05-11,Napier,Hawkes Bay,Administration & Office Support,Administrative Assistants,
171,Personal Assistant With Experience In Landscaping And Gardening.,https://www.seek.co.nz/job/50628245?type=standard#searchRequestToken=f0c27b5c-1a18-4e3a-a9af-d54a94cae061,2023-05-13,Wellington Central,Wellington,,,$20 - $29.99 per hour
172,Funding Agreements & Reporting  Administrator,https://www.seek.co.nz/job/50616605?type=standout#searchRequestToken=f0c27b5c-1a18-4e3a-a9af-d54a94cae061,2023-05-12,Auckland Central,Auckland,Administration & Office Support,Contracts Administration,
173,Personal Assistant (Maternity Leave Position),https://www.seek.co.nz/job/50608937?type=standout#searchRequestToken=f0c27b5c-1a18-4e3a-a9af-d54a94cae061,2023-05-11,Dunedin,Otago,,,$20 - $29.99 per hour
174,Administration Manager,https://www.seek.co.nz/job/50614658?type=standard#searchRequestToken=f0c27b5c-1a18-4e3a-a9af-d54a94cae061,2023-05-12,Palmerston North,Manawatu,Administration & Office Support,Office Management,
175,Administrator / Customer Service - Part Time,https://www.seek.co.nz/job/50605048?type=standout#searchRequestToken=f0c27b5c-1a18-4e3a-a9af-d54a94cae061,2023-05-11,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
176,Customer Service Officer,https://www.seek.co.nz/job/50614282?type=promoted#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,unknown,Timaru & South Canterbury,Canterbury,Administration & Office Support,Client & Sales Administration,
177,Accounts And Office Assistant,https://www.seek.co.nz/job/50564208?type=promoted#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,unknown,Wellington Central,Wellington,Administration & Office Support,Administrative Assistants,
178,Business Support Administrator - Picton,https://www.seek.co.nz/job/50614994?type=standard#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,2023-05-12,,Marlborough,Administration & Office Support,Administrative Assistants,
179,Project Coordinator,https://www.seek.co.nz/job/50636976?type=standout#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,2023-05-14,Dunedin,Otago,Administration & Office Support,Contracts Administration,
180,Executive Assistant To The Elb & Slt,https://www.seek.co.nz/job/50597426?type=standard#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,2023-05-10,,Wellington,Administration & Office Support,Other,
181,Receptionist,https://www.seek.co.nz/job/50601247?type=standout#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,2023-05-10,Tauranga,Bay of Plenty,Administration & Office Support,Receptionists,
182,Office Administrator - Waipukurau,https://www.seek.co.nz/job/50576571?type=standard#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,2023-05-05,Rest of Hawkes Bay,Hawkes Bay,Administration & Office Support,Administrative Assistants,
183,Receptionist/Administrator,https://www.seek.co.nz/job/50609570?type=standard#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,2023-05-11,Tauranga,Bay of Plenty,Administration & Office Support,Receptionists,
184,Team Coordinator Monitoring And Inspection,https://www.seek.co.nz/job/50628725?type=standout#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,2023-05-14,Wellington Central,Wellington,Administration & Office Support,Other,
185,Lodgement Administrator - Dunedin,https://www.seek.co.nz/job/50624975?type=standout#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,2023-05-13,Dunedin,Otago,Administration & Office Support,Data Entry & Word Processing,
186,Receptionist,https://www.seek.co.nz/job/50620889?type=standout#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,2023-05-13,Tauranga,Bay of Plenty,Administration & Office Support,Receptionists,
187,Personal Assistant - Part Time,https://www.seek.co.nz/job/50588220?type=standard#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,2023-05-07,Auckland Central,Auckland,Administration & Office Support,"PA, EA & Secretarial",
188,Weekend Receptionist,https://www.seek.co.nz/job/50613503?type=standard#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,2023-05-12,Christchurch,Canterbury,Administration & Office Support,Receptionists,
189,Children'S Team Administrator - Oranga Tamariki,https://www.seek.co.nz/job/50602701?type=standout#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,2023-05-10,Wellington Central,Wellington,Administration & Office Support,Administrative Assistants,
190,Business Support Administrator,https://www.seek.co.nz/job/50591178?type=standout#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,2023-05-07,Tauranga,Bay of Plenty,Administration & Office Support,Administrative Assistants,
191,Office Assistance Temporary Role,https://www.seek.co.nz/job/50601769?type=standard#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,2023-05-10,Manukau & East Auckland,Auckland,,,$20 - $24.99 per hour
192,Compliance Support Coordinator,https://www.seek.co.nz/job/50615369?type=standout#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,2023-05-12,Dunedin,Otago,Administration & Office Support,Administrative Assistants,
193,"Administration Officer, Building Services",https://www.seek.co.nz/job/50581778?type=standout#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,2023-05-06,Dunedin,Otago,Administration & Office Support,Administrative Assistants,
194,Senior Plumbing Administrator /Scheduler,https://www.seek.co.nz/job/50616946?type=standard#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,2023-05-12,Rest of Otago,Otago,Administration & Office Support,Administrative Assistants,
195,Personal Assistant,https://www.seek.co.nz/job/50639083?type=standout#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,2023-05-17,Auckland Central,Auckland,Administration & Office Support,"PA, EA & Secretarial",
196,Administrator - Women'S Health,https://www.seek.co.nz/job/50588967?type=standard#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,2023-05-07,Hamilton,Waikato,Administration & Office Support,Administrative Assistants,
197,Team Administrator,https://www.seek.co.nz/job/50633637?type=standout#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,2023-05-14,,Wellington,Administration & Office Support,Administrative Assistants,
198,Senior Administrator,https://www.seek.co.nz/job/50551511?type=promoted#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,unknown,Hamilton,Waikato,Administration & Office Support,Administrative Assistants,
199,Customer Service Officer,https://www.seek.co.nz/job/50614282?type=promoted#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,unknown,Timaru & South Canterbury,Canterbury,Administration & Office Support,Client & Sales Administration,
